Date,NameOfThePowerStation,Fuel,Producer,InstalledCapacityUnitNoXCapacity,InstalledCapacityMw,PresentCapacityMw,YesterdayDayPeakMw,YesterdayEvPeakMw,TodayDayPeakMw,TodayEvPeakMw,EvShortageForFuelMw,EvShortageForPlantProblemMw,Remark,ProbableStartUpDate
12/25/2020 ,Sylhet 10MW PP (Desh)  ,Gas,RPP ,6*1.95,10,10,0,0,0,0,,,33 kV line maint.,
12/25/2020 ,Bibiyana South 400 MW,Gas,PDB,400 MW,0,0,0,25,0,0,,,,
12/25/2020 ,Bheramara GTPP Unit-3,HSD,PDB,1*20,20,16,0,0,0,16,,,,
12/25/2020 ,Bheramara (HVDC ),0,Imported power,2*500,1000,1000,564,801,421,709,,,,
12/25/2020 ,Khulna 115 PP MW (KPCL-2),HFO,QRPP,7*17,115,115,0,49,115,115,,,,
12/25/2020 ,Faridpur 50 MW Peaking PP,HFO,PDB,8*6.89,54,54,0,0,35,35,,19,Engine problem,
12/25/2020 ,Khulna  225 MW CCPP,HSD,NWPGCL,1*150+1*75,230,230,0,0,0,220,,,,
12/25/2020 ,Gopalganj 100 MW Peaking PP,HFO,PDB,16*6.98,109,109,0,0,70,70,,39,Engine problem,
12/25/2020 ,Bheramara 410 MW CCPP,Gas,NWPGCL,1*278+1*132,410,410,225,120,300,300,110,,Gas shortage,
12/25/2020 ,Noapara 40 MW PP (Khanjahan Ali),HFO,QRPP,5*8.5,40,40,40,0,40,40,,,,
12/25/2020 , Noapara 100 MW PP (Bangla Trac),HSD,IPP,70*1.4,100,100,0,0,0,0,,,,
12/25/2020 ,Rupsha 105 MW PP (Orion rupsha),HFO,IPP,6*18.445,105,105,53,90,90,90,,15,Engine problem,
12/25/2020 ,Madhumati 100 MW PP,HFO,SWPGCL,100 MW,105,105,0,0,100,100,,,,
12/25/2020 ,Barisal 110 MW PP (Summit ),HFO,IPP,7*17.076,110,110,16,64,110,110,,,,
12/25/2020 ,Bhola  33 MW PP (Venture),Gas,RPP,1*34.50,33,33,20,26,25,25,,8,Engine problem,
12/25/2020 ,Bhola 225 MW  CCPP,Gas,PDB,2*63+1*68,194,194,0,0,0,0,,194,Under maintenance,
12/25/2020 ,Bhola 95 MW PP (Aggreko),Gas,QRPP,96*1.10,95,95,10,10,10,10,85,,Gas shortage,
12/25/2020 ,Payra 1320 MW,Coal,BCPCL,1*622,622,622,420,540,600,660,,,,
12/25/2020 ,Bhola Nutan Biddut BD LTD,Gas,IPP,220,0,0,19,36,35,35,,,,
12/25/2020 ,United Payra Power Ltd.,HFO,IPP,8*18.5+1*9.5,0,0,0,0,0,0,,,,
12/25/2020 ,Baghabari 71 MW GTPP,Gas,PDB,1*71,71,71,0,0,0,0,71,,Gas shortage,
12/25/2020 ,Baghabari  100 MW GTPP,Gas,PDB,1*100,100,100,0,0,0,0,100,,Gas shortage,
12/25/2020 ,Baghabari  50 MW Peaking PP,HFO,PDB,6*8.9,52,52,0,8,0,50,,,,
12/25/2020 ,Bera 70 MW Peaking PP,HFO,PDB,9*8.29,71,71,0,0,0,40,,,,
12/25/2020 ,Amnura 50 MW PP(Sinha),HFO,QRPP,7*7.79,50,50,0,0,35,35,,15,Engine problem,
12/25/2020 ,Katakhali 50 MW PP (Northern),HFO,QRPP,6*8.9,50,50,0,0,50,50,,,,
12/25/2020 ,Katakhali 50 MW Peaking PP,HFO,PDB,6*8.7,50,50,0,0,50,50,,,,
12/25/2020 ,Sirajgonj 225MW CCPP Unit-1,Gas/HSD,NWPGCL,1*150+1*75,210,210,0,0,0,0,210,,Gas shortage,
12/25/2020 ,Sirajgonj 225MW CCPP Unit-2,Gas/HSD,NWPGCL,1*150+1*75,220,220,170,129,0,0,220,,Gas shortage,
12/25/2020 ,Sirajgonj 225MW CCPP Unit-3,Gas/HSD,NWPGCL,1*141,220,220,0,35,220,220,,,FGMO,
12/25/2020 ,Sirajgonj 400 MW CCPP Unit-4,Gas/HSD,SNWPGCL,1*282+1*132,414,414,356,380,400,400,,,FGMO,
12/25/2020 ,Santahar  50 MW Peaking PP,HFO,PDB,6*8.7,50,50,0,0,0,34,,,,
12/25/2020 ,Bogra 22 MW PP (GBB),Gas,RPP ,6*4,22,22,22,22,22,22,,,,
12/25/2020 ,Bogura 20 MW PP (Energyprima),Gas,RPP ,5*3.3+5*2,20,10,0,0,0,0,,,Contract Expired,
12/25/2020 ,Ullapara 11 MW PP  (Summit),Gas,"SIPP, REB",4*2.90,11,11,11,11,11,11,,,,
